"","iso3c","date","value","indicatorID","indicator","iso2c","country","economy","oecs","caricom","lat","long","income","region"
"1","ATG","2018",269000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"2","ATG","2017",247000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"3","ATG","2016",265000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"4","ATG","2015",250000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"5","ATG","2014",249000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"6","ATG","2013",243000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"7","ATG","2012",247000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"8","ATG","2011",241000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"9","ATG","2010",230000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"10","ATG","2009",234000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"11","ATG","2008",266000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"12","ATG","2007",262000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"13","ATG","2006",254000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"14","ATG","2005",245000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"15","ATG","2004",246000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"16","ATG","2003",239000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"17","ATG","2002",218000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"18","ATG","2001",215000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"19","ATG","2000",207000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda","Service Based","OECS Member State","CARICOM Member State","17.1175","-61.8456","High income","Latin America & Caribbean "
"20","BHS","2018",1633000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"21","BHS","2017",1442000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"22","BHS","2016",1500000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"23","BHS","2015",1502000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"24","BHS","2014",1446000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"25","BHS","2013",1366000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"26","BHS","2012",1422000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"27","BHS","2011",1346000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"28","BHS","2010",1370000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"29","BHS","2009",1327000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"30","BHS","2008",1463000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
